,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
122,123,108660 (60),664329310,"6643 - S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Electrical Engineering
123,124,108664 (60),632424510,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Computer Engineering
124,125,108672 (60),631337210,"6313 - Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva","Electronics and Telecommunication
Engg"
125,126,108684 (60),335119110,"3351 - Bharat College of Engineering, Kanhor, Badlapur(W)",Civil Engineering
126,127,108686 (60),618424610,"6184 - K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli,
Haveli",Information Technology
127,128,108687 (60),127619110,"1276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat
Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Civil Engineering
128,129,108693 (60),683924210,"6839 - Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Computer Science and Engineering
129,130,108694 (60),112561210,"1125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of
Engineering, Buldhana",Mechanical Engineering
130,131,108697 (60),533129310,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Electrical Engineering
131,132,108710 (60),212861210,"2128 - Maharashtra College of Engineering, Nilanga",Mechanical Engineering
132,133,108720 (60),413324610,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",Information Technology
133,134,108726 (60),678661210,"6786 - Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon,
Pune",Mechanical Engineering
134,135,108773 (59),413629310,"4136 - Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of
Engineering, Nagpur",Electrical Engineering
135,136,108745 (60),662061210,"6620 - D. Y. Patil Institute of Engineering and Technology, Ambi",Mechanical Engineering
136,137,108751 (60),631929310,"6319 - Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal.
Indapur",Electrical Engineering
137,138,108752 (60),632437210,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor","Electronics and Telecommunication
Engg"
138,139,108773 (59),413629310,"4136 - Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of
Engineering, Nagpur",Electrical Engineering
139,140,108782 (59),654561210,"6545 - Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi,
Varye,Satara.",Mechanical Engineering
140,141,108789 (59),111719110,"1117 - Janata Shikshan Prasarak Mandal'/s Babasaheb Naik College Of Engineering,
Pusad",Civil Engineering
141,142,108793 (59),321619110,"3216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Civil Engineering
142,143,108797 (59),678124210,"6781 - Bhagwant Institute of Technology, Barshi",Computer Science and Engineering
