,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
415,416,109990 (48),627761210,"6277 - Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering,
Jaysingpur",Mechanical Engineering
416,417,109991 (48),417261210,"4172 - Anjuman College of Engineering & Technology, Nagpur",Mechanical Engineering
417,418,109994 (48),251637210,"2516 - International Centre of Excellence in Engineering & Management, Aurangabad.","Electronics and Telecommunication
Engg"
418,419,109995 (48),414319110,"4143 - Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering,
Bhandara,Nagpur",Civil Engineering
419,420,109999 (47),680324210,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Computer Science and Engineering
420,421,110000 (47),631129310,"6311 - Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology
& Research, Wagholi",Electrical Engineering
421,422,110004 (47),118029310,"1180 - Sanmati Engineering College, Sawargaon Barde, Washim",Electrical Engineering
422,423,110005 (47),111624220,"1116 - Shri Shivaji Education Society's College of Engineering and Technology, Akola",Computer Science and Engineering
423,424,110008 (47),414529310,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Electrical Engineering
424,425,110013 (47),632661210,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Mechanical Engineering
425,426,110015 (47),126861210,"1268 - Siddhivinayak Technical Campus, School of Engineering & Research Technology,
Shirasgon, Nile",Mechanical Engineering
426,427,110020 (47),517724610,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Information Technology
427,428,110026 (47),664337210,"6643 - S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur","Electronics and Telecommunication
Engg"
428,429,110028 (47),413861210,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",Mechanical Engineering
429,430,110030 (47),631524210,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,
Panhala",Computer Science and Engineering
430,431,110033 (47),632461210,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Mechanical Engineering
431,432,110037 (47),414419110,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Civil Engineering
432,433,110038 (47),251619110,"2516 - International Centre of Excellence in Engineering & Management, Aurangabad.",Civil Engineering
433,434,110041 (47),676824510,"6768 - P.K. Technical Campus, Pune.",Computer Engineering
434,435,110043 (47),411837210,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram","Electronics and Telecommunication
Engg"
435,436,110046 (47),212924610,"2129 - M.S. Bidve Engineering College, Latur",Information Technology
436,437,110047 (47),213761210,"2137 - Nagnathappa Halge Engineering College, Parli, Beed",Mechanical Engineering
437,438,110048 (47),112050710,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Chemical Engineering
438,439,110049 (47),631861210,"6318 - Abhinav Education Society's College of Engineering and Technology (Degree),
Wadwadi",Mechanical Engineering
439,440,110051 (47),683961210,"6839 - Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Mechanical Engineering
440,441,110053 (47),516137210,"5161 - Padmashri Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar","Electronics and Telecommunication
Engg"
441,442,110054 (47),517761210,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Mechanical Engineering
442,443,110055 (47),414561210,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Mechanical Engineering
443,444,110058 (47),654524210,"6545 - Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi,
Varye,Satara.",Computer Science and Engineering
444,445,110062 (47),518129310,"5181 - Gokhale Education Society's, R.H. Sapat College of Engineering, Management
Studies and Research, Nashik",Electrical Engineering
445,446,110063 (47),414729310,"4147 - K.D.K. College of Engineering, Nagpur",Electrical Engineering
446,447,110065 (46),111924210,"1119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering
College, Chikhali",Computer Science and Engineering
447,448,110074 (46),213861210,"2138 - Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Mechanical Engineering
448,449,110077 (46),630324210,"6303 - Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering,
Karad",Computer Science and Engineering
449,450,110079 (46),112761210,"1127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of
Engineering and Technology, Yavatmal",Mechanical Engineering
450,451,110081 (46),418637210,"4186 - Datta Meghe Institute of Medical Science's Datta Meghe Institute of
Engineering & Technology & Research, Savangi (Meghe)","Electronics and Telecommunication
Engg"
451,452,110082 (46),411824510,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram",Computer Engineering
452,453,110085 (46),418629310,"4186 - Datta Meghe Institute of Medical Science's Datta Meghe Institute of
Engineering & Technology & Research, Savangi (Meghe)",Electrical Engineering
453,454,110087 (46),510937210,"5109 - Sandip Foundation, Sandip Institute of Technology and Research Centre,
Mahiravani, Nashik","Electronics and Telecommunication
Engg"
454,455,110089 (46),416361210,4163 - Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Mechanical Engineering
455,456,110090 (46),413324510,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",Computer Engineering
456,457,110091 (46),430261210,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",Mechanical Engineering
457,458,110093 (46),112029310,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electrical Engineering
458,459,110094 (46),517124510,"5171 - Godavari Foundation's Godavari College Of Engineering, Jalgaon",Computer Engineering
459,460,110096 (46),225261210,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering
and Management Studies, Parbhani",Mechanical Engineering
460,461,110099 (45),252237210,"2522 - STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","Electronics and Telecommunication
Engg"
461,462,110103 (45),419729310,"4197 - Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Electrical Engineering
462,463,110105 (45),664019110,"6640 - N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Civil Engineering
463,464,110107 (45),510524210,"5105 - G.H. Raisoni Institute of Engineering and Management, Jalgaon",Computer Science and Engineering
464,465,110110 (45),533024610,"5330 - Pune Vidyarthi Griha's College Of Engineering, Nashik",Information Technology
465,466,110114 (45),413937210,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur","Electronics and Telecommunication
Engg"
466,467,110115 (45),676619110,"6766 - Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-
Satara",Civil Engineering
467,468,110116 (45),517361210,"5173 - SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul),
Neminagar,Chandwad,(Nashik)",Mechanical Engineering
468,469,110117 (45),112319110,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Civil Engineering
469,470,110120 (45),512429310,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",Electrical Engineering
470,471,110127 (45),517324610,"5173 - SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul),
Neminagar,Chandwad,(Nashik)",Information Technology
471,472,110129 (45),662537210,"6625 - Universal College of Engineering & Research, Sasewadi","Electronics and Telecommunication
Engg"
472,473,110130 (44),413837210,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur","Electronics and Telecommunication
Engg"
473,474,110131 (44),225029310,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Electrical Engineering
474,475,110135 (44),516461210,"5164 - P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Mechanical Engineering
475,476,110137 (44),414324510,"4143 - Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering,
Bhandara,Nagpur",Computer Engineering
476,477,110144 (44),213719110,"2137 - Nagnathappa Halge Engineering College, Parli, Beed",Civil Engineering
477,478,110145 (44),413929310,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Electrical Engineering
478,479,110147 (44),213346610,"2133 - Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Instrumentation Engineering
479,480,110149 (44),417137010,"4171 - Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of
Engineering and Technology, Nagpur","Electronics and Communication
Engineering"
480,481,110150 (44),414424210,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Computer Science and Engineering
481,482,110151 (44),616061220,"6160 - JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Mechanical Engineering
482,483,110156 (44),622337210,"6223 - Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of
Engineering & Technology, Solapur","Electronics and Telecommunication
Engg"
483,484,110157 (44),417829310,"4178 - Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur",Electrical Engineering
484,485,110158 (44),419619110,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Civil Engineering
485,486,110160 (44),112661210,"1126 - Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of
Engineering & Technology, Darapur, Amravati",Mechanical Engineering
486,487,110164 (43),212629710,"2126 - Gramodyogik Shikshan Mandal's Marathwada Institute of Technology,
Aurangabad",Electrical and Electronics Engineering
487,488,110171 (43),112961210,"1129 - Dhamangaon Education Society's College of Engineering and Technology,
Dhamangaon",Mechanical Engineering
488,489,110176 (43),415137010,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur","Electronics and Communication
Engineering"
489,490,110177 (43),461324510,"4613 - Suryodaya College of Engineering & Technology, Nagpur",Computer Engineering
490,491,110178 (43),430219110,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",Civil Engineering
491,492,110179 (43),510437210,"5104 - Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon","Electronics and Telecommunication
Engg"
492,493,110182 (43),111437210,"1114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Electronics and Telecommunication
Engg"
493,494,110184 (43),541861210,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Mechanical Engineering
494,495,110186 (43),414761220,"4147 - K.D.K. College of Engineering, Nagpur",Mechanical Engineering
495,496,110188 (43),430224510,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",Computer Engineering
496,497,110189 (43),118019110,"1180 - Sanmati Engineering College, Sawargaon Barde, Washim",Civil Engineering
497,498,110193 (42),538119110,"5381 - Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Civil Engineering
498,499,110194 (42),127629310,"1276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat
Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Electrical Engineering
499,500,110196 (42),413429310,"4134 - Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Electrical Engineering
500,501,110198 (42),414424610,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Information Technology
501,502,110201 (42),513937610,"5139 - Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Electronics Engineering
502,503,110202 (42),213619110,"2136 - Aditya Engineering College , Beed",Civil Engineering
503,504,110203 (42),411819120,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram",Civil Engineering
504,505,110204 (42),626961210,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",Mechanical Engineering
505,506,110206 (42),111724210,"1117 - Janata Shikshan Prasarak Mandal'/s Babasaheb Naik College Of Engineering,
Pusad",Computer Science and Engineering
506,507,110208 (41),530337210,"5303 - Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions
(Integrated Campus)-Parikrama, Kashti Shrigondha,","Electronics and Telecommunication
Engg"
507,508,110209 (41),111661210,"1116 - Shri Shivaji Education Society's College of Engineering and Technology, Akola",Mechanical Engineering
508,509,110211 (41),538261210,"5382 - Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji
Maharaj College of Engineering, Nepti",Mechanical Engineering
509,510,110212 (41),213661210,"2136 - Aditya Engineering College , Beed",Mechanical Engineering
510,511,110213 (41),675537210,"6755 - JSPM Narhe Technical Campus, Pune.","Electronics and Telecommunication
Engg"
511,512,110214 (41),626837610,"6268 - Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Electronics Engineering
512,513,110216 (41),664361210,"6643 - S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Mechanical Engineering
513,514,110219 (41),540861210,"5408 - Vidya Niketan College of Engineering, Bota Sangamner",Mechanical Engineering
514,515,110222 (41),411861210,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram",Mechanical Engineering
515,516,110224 (40),126537210,"1265 - Mauli Group of Institutions, College of Engineering and Technology, Shegaon.","Electronics and Telecommunication
Engg"
516,517,110225 (40),629861210,"6298 - Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Mechanical Engineering
517,518,110228 (39),211619110,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",Civil Engineering
518,519,110229 (39),253337210,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad","Electronics and Telecommunication
Engg"
519,520,110235 (38),415124210,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Computer Science and Engineering
520,521,110236 (38),419224210,"4192 - Maitraya Education Society, Nagarjuna Institute of Engineering Technology &
Management, Nagpur",Computer Science and Engineering
521,522,110237 (38),113035610,"1130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of
Technology & Management Studies, Yelgaon",Electrical Engg[Electronics and Power]
522,523,110239 (38),225224210,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering
and Management Studies, Parbhani",Computer Science and Engineering
523,524,110240 (37),613824610,"6138 - Genba Sopanrao Moze Trust Parvatibai Genba Moze College of
Engineering,Wagholi, Pune",Information Technology
524,525,110241 (37),413424210,"4134 - Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Computer Science and Engineering
525,526,110244 (37),417761210,"4177 - Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred
Road,Nagpur",Mechanical Engineering
526,527,110245 (37),622361210,"6223 - Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of
Engineering & Technology, Solapur",Mechanical Engineering
527,528,110246 (37),631924510,"6319 - Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal.
Indapur",Computer Engineering
528,529,110247 (37),461361210,"4613 - Suryodaya College of Engineering & Technology, Nagpur",Mechanical Engineering
529,530,110250 (35),541161210,"5411 - Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Mechanical Engineering
530,531,110252 (34),112719110,"1127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of
Engineering and Technology, Yavatmal",Civil Engineering
531,532,110253 (34),518219110,"5182 - Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of
Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Civil Engineering
532,533,110254 (33),414429310,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Electrical Engineering
533,534,110255 (33),414461210,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Mechanical Engineering
534,535,110256 (32),213019110,"2130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Civil Engineering
535,536,110257 (32),675619110,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",Civil Engineering
536,537,110261 (29),417237210,"4172 - Anjuman College of Engineering & Technology, Nagpur","Electronics and Telecommunication
Engg"
537,538,110262 (27),510424610,"5104 - Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Information Technology
