51,52,115407 (31),626961210.0,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",,Mechanical Engineering,JEE,MH to AI,GNT1O
52,53,115414 (31),214519110.0,"2145 - Geetai Charitable Trust's Khurana Sawant Institute of Engineering &
Technology, Balsond, Hingoli.",,Civil Engineering,JEE,MH to AI,GNT3H
53,54,115418 (30),538119110.0,"5381 - Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",,Civil Engineering,JEE,MH to AI,GNT1H
54,55,115429 (30),414461210.0,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",,Mechanical Engineering,JEE,MH to AI,GOBCH
55,56,115432 (30),415129310.0,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",,Electrical Engineering,JEE,MH to AI,GVJH
56,57,115435 (30),632619110.0,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",,Civil Engineering,JEE,MH to AI,GOBCH
57,58,115436 (30),414761220.0,"4147 - K.D.K. College of Engineering, Nagpur",,Mechanical Engineering,JEE,MH to AI,GOBCO
58,59,115444 (30),414737610.0,"4147 - K.D.K. College of Engineering, Nagpur",,Electronics Engineering,JEE,MH to AI,LNT1H
59,60,115451 (30),680861210.0,"6808 - Keystone School of Engineering, Pune",,Mechanical Engineering,JEE,MH to AI,GNT2H
60,61,115462 (30),518419110.0,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering
& Research, Agaskhind Tal. Sinnar",,Civil Engineering,JEE,AI to AI,AI
61,62,115496 (29),413837210.0,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GOPENH
62,63,115517 (28),112124210.0,"1121 - Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology,
Amravati",,Computer Science and Engineering,JEE,AI to AI,AI
63,64,115524 (27),662124510.0,"6621 - Institute Of Knowledge-College Of Engineering, Pimpale - Jagtap",,Computer Engineering,JEE,MH to AI,GNT3H
64,65,115531 (27),418761210.0,"4187 - Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri,
Nagpur",,Mechanical Engineering,JEE,MH to AI,GNT1H
65,66,115533 (27),512524510.0,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik",,Computer Engineering,JEE,AI to AI,AI
66,67,115535 (27),517761210.0,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",,Mechanical Engineering,JEE,MH to AI,LNT2H
67,68,115537 (27),414737610.0,"4147 - K.D.K. College of Engineering, Nagpur",,Electronics Engineering,JEE,MH to AI,LNT2H
68,69,115553 (26),414519110.0,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",,Civil Engineering,JEE,MH to AI,LNT1H
69,70,115563 (26),412337210.0,"4123 - Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of
Engineering, Nagpur",,"Electronics and Telecommunication
Engg",JEE,MI to AI,MI
70,71,115593 (25),430261210.0,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",,Mechanical Engineering,JEE,MH to AI,GOBCH
71,72,115612 (25),413829310.0,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",,Electrical Engineering,JEE,MI to AI,MI
72,73,115645 (24),112324210.0,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",,Computer Science and Engineering,JEE,MH to AI,LOBCH
73,74,115657 (24),414729310.0,"4147 - K.D.K. College of Engineering, Nagpur",,Electrical Engineering,JEE,MH to AI,GVJH
74,75,115670 (24),414729310.0,"4147 - K.D.K. College of Engineering, Nagpur",,Electrical Engineering,JEE,MH to AI,GNT2O
75,76,115677 (23),690161210.0,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",,Mechanical Engineering,JEE,MH to AI,GNT1H
76,77,115686 (23),413637210.0,"4136 - Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of
Engineering, Nagpur",,"Electronics and Telecommunication
Engg",JEE,MI to AI,MI
77,78,115691 (23),415129310.0,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",,Electrical Engineering,JEE,MH to AI,LNT3H
78,79,115694 (23),430561210.0,"4305 - G.H.Raisoni Academy of Engineering & Technology, Nagpur",,Mechanical Engineering,JEE,MI to AI,MI
79,80,115695 (23),690124510.0,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",,Computer Engineering,JEE,MH to AI,GOBCH
80,81,115706 (23),461329310.0,"4613 - Suryodaya College of Engineering & Technology, Nagpur",,Electrical Engineering,JEE,MH to AI,LNT1H
